rank,ticker,sector,composite_score,value_z,growth_z,quality_z,momentum_z,eps_momentum_z,piotroski,altman_zone,altman_zscore,rsi,price,ma_50,pct_from_52w_high,above_ma50,passes,pe_ratio,roce,debt_equity,revenue_cagr_3y,eps_cagr_3y
139,TIINDIA,Automobile and Auto Components,-0.2519,-0.752,-0.5306,-0.493,0.6192,-0.1032,6.0,Safe,4.24,38.4,2886.9,3045.88,15.1,False,False,66.6,19.6,0.01,5.744406955407189,7.4709262961013545
140,LTTS,Information Technology,-0.2531,0.7302,-0.8043,0.0333,-1.1759,-0.0488,6.0,Safe,3.73,51.8,3349.5,3358.14,27.9,False,False,28.0,26.8,0.09,3.944239449691067,-0.7990854542642811
141,BIKAJI,Fast Moving Consumer Goods,-0.2551,-0.3247,0.1359,-0.2971,-0.6864,-0.1032,5.0,Safe,4.6,46.2,641.95,652.06,19.7,False,False,58.4,22.0,0.13,13.161022273958078,24.576343521467958
142,NAVINFLUOR,Chemicals,-0.2614,-1.2816,-0.1571,-0.4392,0.6742,-0.1032,6.0,Safe,4.49,61.7,7861.5,7327.15,0.0,True,True,84.0,20.8,0.01,12.240684415454783,14.715075467774529
143,EXIDEIND,Automobile and Auto Components,-0.2635,0.5841,-0.539,-1.1151,-0.1441,-0.1032,7.0,Safe,3.77,73.2,436.65,387.95,0.0,True,False,34.6,10.1,0.03,5.775265192940338,7.130740714491313
144,ZFCVINDIA,Automobile and Auto Components,-0.2676,-0.3137,-0.2803,-0.5391,-0.1018,-0.1032,5.0,Safe,4.4,42.3,2338.6,2448.13,12.8,False,False,54.8,19.1,0.01,5.584591523446525,16.8418540421418
145,SHYAMMETL,Capital Goods,-0.2781,-0.119,-0.48,-1.0116,0.3675,-0.1472,5.0,Safe,3.58,69.1,1055.0,961.99,0.0,True,True,55.6,12.3,0.05,0.7984468903657227,14.27915399765003
146,TITAN,Consumer Durables,-0.2782,-1.3977,0.1465,-0.1396,0.103,-0.1032,5.0,Grey,2.48,69.8,4643.4,4282.99,0.0,True,True,89.0,18.7,1.12,26.546046026917836,11.580083350311444
147,TITAGARH,Capital Goods,-0.2898,-0.1013,-0.5328,-1.0586,0.3467,-0.1032,5.0,Safe,3.15,51.8,867.2,845.03,9.2,True,True,55.2,11.7,0.25,4.174282075386415,8.9610617165234
148,SJVN,Power,-0.2904,0.8791,-0.9753,-1.1151,-0.1376,-0.1032,7.0,Grey,2.36,33.7,69.1,72.81,29.3,False,False,26.6,9.94,0.72,6.4966740292409675,-9.641260582556132
149,RITES,Construction,-0.304,0.6715,-1.2231,-0.4315,-0.4336,-0.1032,5.0,Grey,2.11,52.1,219.94,211.57,18.1,True,True,26.0,20.6,0.0,-3.3376745433326693,-8.925039320041162
150,HEXT,Information Technology,-0.3136,0.4231,-0.8824,0.4827,-1.4881,-0.1032,6.0,Safe,3.92,58.0,555.65,518.89,33.7,True,False,35.8,33.5,0.13,15.078004185692073,-14.806001164743476
151,SBICARD,Financial Services,-0.3174,0.5542,0.0,-0.8683,-1.1696,-0.1032,,,,61.1,644.95,613.52,31.0,True,False,27.8,10.1,0.0,,-1.5603175957831228
152,INDHOTEL,Consumer Services,-0.3333,-0.4214,-0.0073,-0.7042,-0.2157,-0.3176,5.0,Safe,4.4,53.3,725.05,689.88,9.7,True,True,58.8,17.0,0.09,8.108267978932027,24.359970800183017
153,DIVISLAB,Healthcare,-0.3347,-0.97,-0.2422,-0.3201,-0.038,-0.1032,5.0,Safe,4.62,72.0,7318.0,6780.25,0.0,True,False,73.1,22.4,0.0,10.857232129977156,12.970972971681327
154,ASIANPAINT,Consumer Durables,-0.3404,-0.3952,-0.8377,0.0871,-0.453,-0.1032,6.0,Safe,4.11,53.6,2691.4,2657.59,8.5,True,True,59.1,27.8,0.11,0.7599961583552695,1.1561717946460215
155,DMART,Consumer Services,-0.3411,-0.9047,-0.3692,-0.6351,0.1483,0.055,5.0,Safe,4.55,39.6,3975.5,4154.0,17.7,False,False,77.9,17.5,0.09,11.8865290190306,7.267184963163165
156,MINDACORP,Automobile and Auto Components,-0.3624,-0.3218,-0.5373,-0.9117,0.0617,-0.1032,5.0,Grey,2.56,52.5,676.25,635.85,4.7,True,True,67.1,12.1,0.67,12.838322724389183,0.1323628282226208
157,NEWGEN,Information Technology,-0.3678,0.8254,-0.4685,-0.0743,-1.789,-0.3325,5.0,Safe,4.2,65.9,559.45,475.98,43.2,True,False,23.1,25.4,0.02,8.325230200186628,7.175693839154373
158,HONAUT,Capital Goods,-0.3685,-0.7753,-0.4288,-0.6889,0.1538,-0.1032,5.0,Safe,3.69,53.8,38215.0,35900.76,5.7,True,True,63.7,17.0,0.02,10.735800820554896,6.225442262313252
159,BLUEDART,Services,-0.3707,0.3873,-1.0883,-0.5122,-0.5371,-0.1032,5.0,Safe,2.84,48.3,4883.0,4871.2,29.0,True,False,42.4,18.4,0.32,5.89127894978505,-13.192237106597393
160,BHARTIARTL,Telecommunication,-0.3846,-0.2623,0.0,-0.927,-0.6304,-0.1032,6.0,Grey,2.3,59.5,1940.1,1867.64,10.3,True,True,75.5,12.7,0.9,12.768664280742437,
161,LTFOODS,Fast Moving Consumer Goods,-0.3954,-0.3503,-0.4559,-0.6774,-0.3901,-0.1032,6.0,Safe,3.24,51.2,385.35,388.14,22.8,False,False,53.7,16.8,0.07,1.0531524368254885,14.910226530292459
162,SHREECEM,Construction Materials,-0.4278,0.0449,-0.526,-1.1008,-0.4538,-0.1032,5.0,Safe,3.64,60.7,26850.0,25245.45,16.5,True,True,56.6,10.6,0.08,4.6758952650833185,8.70958359009224
163,JUBLINGREA,Chemicals,-0.4487,0.2482,-0.9255,-0.9309,-0.5319,-0.1032,5.0,Safe,2.84,64.9,736.85,675.18,10.1,True,True,43.3,12.4,0.28,-3.1851713335073084,1.8713208669854264
164,SRF,Chemicals,-0.4697,0.0739,-1.005,-0.6466,-0.6674,-0.1032,6.0,Safe,3.5,61.6,2871.7,2730.32,9.8,True,True,48.7,15.9,0.27,0.9489478330957146,-5.186725814013727
165,TATACONSUM,Fast Moving Consumer Goods,-0.5064,-0.8637,-0.0732,-1.0089,-0.4832,-0.1032,6.0,Safe,3.85,43.8,1091.9,1137.44,13.4,False,False,65.3,11.9,0.04,17.567400871680494,12.475847546018493
166,VMM,Consumer Services,-0.5131,-1.0788,0.2576,-0.9378,-0.7034,-0.1032,7.0,Grey,2.38,36.5,111.21,118.41,27.4,False,False,80.6,13.2,0.02,5.675261682001431,36.53849621910632
167,INTELLECT,Information Technology,-0.5198,0.0287,-0.444,-0.8425,-1.2381,-0.1032,5.0,Safe,3.33,49.9,751.45,737.33,37.3,True,False,48.7,14.7,0.01,4.176851611839449,12.223984696872892
168,GODREJCP,Fast Moving Consumer Goods,-0.5381,-0.8054,-0.6905,-0.3316,-0.7595,-0.1032,5.0,Safe,3.55,53.5,1064.8,1035.25,15.9,True,True,71.4,20.3,0.38,7.308956668286282,0.0225174517856086
169,APLAPOLLO,Capital Goods,-0.5566,-1.4091,-0.7785,-0.3585,-0.1336,-0.1032,7.0,Safe,3.31,49.7,1814.3,1827.97,20.5,False,False,92.3,21.5,0.18,1.9034506340865454,2.1907319473922104
170,DOMS,Fast Moving Consumer Goods,-0.5713,-0.4177,-1.6093,-0.0666,-0.6599,-0.1032,6.0,Safe,4.54,47.8,2266.2,2251.14,15.7,True,True,62.8,25.2,0.07,23.739645294921917,-75.22314600703805
171,ASAHIINDIA,Automobile and Auto Components,-0.6097,-0.2989,-0.8628,-1.0081,-0.7755,-0.1032,5.0,Safe,2.77,51.3,889.85,874.47,16.6,True,True,68.1,11.4,0.52,6.0726348645467665,-5.0783855700126335
172,LINDEINDIA,Chemicals,-0.6275,-1.8975,-1.0454,-0.6005,0.5092,-0.1032,6.0,Safe,3.9,44.6,6996.5,7134.94,10.8,False,False,108.0,18.2,0.02,-6.895208820689902,0.9305060691956246
173,LEMONTREE,Consumer Services,-0.6334,-0.6249,-0.2378,-1.0089,-1.1924,-0.1032,6.0,Safe,2.63,39.7,111.63,113.92,37.3,False,False,70.7,11.9,0.24,12.552079962148245,11.436755109208852
174,ATGL,Oil Gas & Consumable Fuels,-0.6427,-2.2693,-0.6354,-0.7042,0.5786,-0.1834,5.0,Safe,2.82,49.4,712.9,707.33,11.8,True,True,127.0,15.1,0.47,11.715016580336624,-2.355850096282275
175,DLF,Realty,-0.6516,-1.286,-0.4138,-0.8579,-0.597,-0.1032,7.0,Safe,2.93,58.2,668.6,613.43,21.0,True,False,47.7,13.7,0.0,0.04186903855480928,17.469828032873423
176,FLUOROCHEM,Chemicals,-0.6673,-0.638,-1.6312,-0.9616,-0.0022,-0.1032,6.0,Safe,3.8,76.5,4316.2,3805.69,0.0,True,False,73.2,12.3,0.22,-6.863746745015598,-20.62351651089599
177,BATAINDIA,Consumer Durables,-0.6758,0.2983,-1.5584,-0.927,-1.0884,-0.1032,5.0,Grey,2.3,53.3,700.5,690.09,45.0,True,False,53.6,12.8,0.87,0.6046792498491493,-25.20378706268541
178,LATENTVIEW,Information Technology,-0.7225,-0.5103,-0.4083,-0.9374,-1.6532,-0.1032,6.0,Safe,4.51,58.4,310.7,302.52,38.1,True,False,50.6,13.2,0.02,14.663813565647388,3.052714224186337
179,JUBLFOOD,Consumer Services,-0.7986,-0.902,-0.9866,-0.927,-1.0744,-0.1032,6.0,Grey,2.02,48.5,424.85,430.25,37.3,False,False,103.0,11.8,1.38,10.39442197708247,-13.955807955064492
180,HDFCLIFE,Financial Services,-0.8325,-1.4927,-0.6619,-0.9962,-1.0286,0.0171,,,,45.9,564.65,581.75,28.9,False,False,61.7,10.3,0.18,0.5939360359305423,7.79064807746539
181,SBILIFE,Financial Services,-0.8679,-2.6219,-0.2262,-0.7235,-0.6646,-0.1032,,,,52.4,1824.5,1810.24,13.4,True,True,73.4,15.0,0.0,11.67850590362043,12.736058029949548
182,BAJAJFINSV,Financial Services,-0.9206,-3.657,0.3803,-0.4968,-0.7264,-0.1032,,,,56.2,1861.5,1781.96,14.4,True,True,212.0,19.2,0.0,21.887085592439636,24.840375958234052
183,BDL,Capital Goods,-1.047,-3.404,-0.7419,-0.904,-0.082,-0.1032,5.0,Grey,1.31,38.7,1257.6,1299.71,26.5,False,False,111.0,13.8,0.0,-0.6334401782916665,6.0750740000032
