rank,ticker,sector,composite_score,value_z,growth_z,quality_z,momentum_z,eps_momentum_z,piotroski,altman_zone,altman_zscore,rsi,price,ma_50,pct_from_52w_high,above_ma50,passes,pe_ratio,roce,debt_equity,revenue_cagr_3y,eps_cagr_3y
47,IOC,Oil Gas & Consumable Fuels,0.1993,1.3861,0.8059,-0.4161,-0.6763,-0.1032,7.0,Grey,2.41,53.6,142.41,140.42,23.1,True,False,5.43,17.5,0.6,-2.2464689047952513,64.63437580507643
48,INDIAMART,Consumer Services,0.1795,0.8452,-0.2713,0.1101,-0.512,0.7256,6.0,Safe,3.1,48.7,1932.9,1948.21,25.5,False,False,20.8,28.6,0.01,8.925115380515614,13.829669327246874
49,JKTYRE,Automobile and Auto Components,0.17,1.2693,0.9166,-0.5122,-0.7204,-0.1032,7.0,Grey,2.35,49.8,402.0,392.02,33.5,True,False,13.0,16.6,0.83,14.961265842604,51.4992146153616
50,BEL,Capital Goods,0.169,-0.0992,0.2561,0.671,0.1202,-0.1032,7.0,Safe,3.4,45.1,408.15,414.89,12.9,False,False,49.6,37.1,0.0,15.910688229898607,26.247047216429962
51,KPIL,Construction,0.1666,1.026,-0.0318,-0.5852,0.5271,-0.1032,6.0,Grey,1.87,48.1,1323.4,1309.9,7.3,True,True,21.2,18.5,0.36,17.41915528662581,14.148166947370623
52,NLCINDIA,Power,0.1592,1.0245,-0.325,-0.7964,0.9959,-0.1032,6.0,Grey,2.35,38.2,296.4,325.64,20.1,False,False,15.9,13.0,0.53,-5.6987506472255145,26.4801811053206
53,JMFINANCIL,Financial Services,0.1576,1.0551,0.9777,-0.5698,-0.5719,-0.1032,,,,46.1,123.78,125.8,34.2,False,False,17.1,17.6,0.01,29.543031539142973,39.164535871933204
54,HINDPETRO,Oil Gas & Consumable Fuels,0.1475,1.3861,0.0,0.3099,-0.8553,-0.1032,7.0,Grey,2.1,56.6,405.4,391.24,18.8,True,True,5.04,23.1,0.88,0.07903174692360793,
55,CPPLUS,Capital Goods,0.1358,-2.5203,-1.6487,0.4098,4.5415,-0.1032,6.0,Safe,3.81,53.0,3565.9,3246.67,6.1,True,True,121.0,30.4,0.14,22.29125133801386,-61.280341183627776
56,RAILTEL,Telecommunication,0.129,0.8687,0.5309,-0.2932,-0.3582,-0.1032,5.0,Grey,2.01,36.6,294.7,313.82,26.6,False,False,25.7,22.8,0.03,29.772540945167215,22.497656737877357
57,M&M,Automobile and Auto Components,0.1287,0.8192,0.5546,0.2177,-0.8447,-0.1032,7.0,Safe,3.65,55.7,3165.5,3072.66,15.9,True,True,25.2,30.1,0.02,19.474720725727824,33.66587877802354
58,TATATECH,Information Technology,0.1265,-0.2467,-0.9334,1.2587,0.3512,0.2025,5.0,Grey,2.11,55.5,748.7,713.92,2.5,True,True,45.7,44.0,0.04,6.142540904389349,-7.747230760846591
59,OLECTRA,Automobile and Auto Components,0.1258,-0.369,0.7638,-0.4392,0.7763,-0.1032,5.0,Safe,2.8,41.8,1345.7,1345.01,19.5,True,True,64.2,20.9,0.28,26.103111306811332,34.73644109798166
60,AEGISLOG,Oil Gas & Consumable Fuels,0.1216,-0.805,-0.3908,0.598,1.3091,-0.1032,6.0,Safe,3.52,68.9,1383.9,975.27,1.3,True,True,49.7,33.4,0.12,13.465772911735584,4.894630779031406
61,GROWW,Financial Services,0.1083,-0.9307,0.0,0.5365,1.026,-0.0906,,,,51.5,203.43,195.91,8.2,True,True,68.9,35.1,0.01,17.055194409726184,
62,ANGELONE,Financial Services,0.1053,0.8192,-0.7252,-0.5621,1.2243,-0.2296,,,,42.5,323.35,334.02,8.6,False,False,25.4,15.6,1.28,7.971356749254244,-1.9143476910622792
63,IRCTC,Consumer Services,0.1052,0.6135,-0.2031,1.2741,-1.0554,-0.1032,5.0,Safe,3.81,46.2,504.75,516.88,33.6,False,False,28.8,46.1,0.02,13.773939302582704,11.490438693500217
64,KALYANKJIL,Consumer Durables,0.0999,0.1038,1.4918,0.0103,-1.0033,-0.1032,7.0,Grey,2.07,82.3,570.0,389.55,6.7,True,False,46.8,23.7,0.53,38.87596155514088,48.74516582089754
65,KEI,Capital Goods,0.0986,-0.1683,0.2333,-0.4853,1.0163,-0.1032,5.0,Safe,4.05,36.6,4928.5,5250.93,12.9,False,False,51.6,20.1,0.04,19.340193073065848,21.981873379610704
66,INFY,Information Technology,0.0872,1.1591,-0.4832,1.2971,-1.434,-0.1032,5.0,Safe,4.52,51.0,1087.1,1105.98,34.3,False,False,14.4,45.6,0.05,6.266380568219065,8.694939443056771
67,APOLLOTYRE,Automobile and Auto Components,0.0772,1.1926,0.6684,-0.5813,-0.7903,-0.1032,7.0,Safe,3.12,51.1,428.7,409.67,19.1,True,True,14.5,15.7,0.23,4.628081615065294,52.69841857399806
68,PNBHOUSING,Financial Services,0.0648,1.2115,0.0,-0.9232,0.1388,-0.1032,,,,59.5,1098.4,1046.3,2.1,True,True,12.0,10.6,0.0,,29.96223745554314
69,PERSISTENT,Information Technology,0.0624,-0.001,0.94,0.5711,-1.0947,-0.1032,5.0,Safe,4.07,60.3,5188.7,4936.59,20.7,True,False,49.2,35.6,0.06,41.26523101707284,26.057007566318056
70,VIJAYA,Healthcare,0.059,-0.758,0.4132,-0.1857,0.9285,-0.1032,6.0,Safe,3.88,48.5,1334.7,1317.93,5.5,True,True,75.6,22.1,0.42,19.348319192733697,28.591911272747783
71,HAL,Capital Goods,0.0543,0.3551,-0.261,0.3252,-0.0445,-0.1032,5.0,Grey,1.75,57.4,4491.0,4380.77,7.9,True,True,33.8,32.0,0.0,7.110214617226429,16.023870998114063
72,GESHIP,Services,0.0538,1.2937,-1.0689,-0.7427,0.8898,-0.1032,5.0,Safe,4.48,44.3,1387.1,1474.49,19.3,False,False,11.1,14.2,0.08,-8.871271571397044,0.0647066140843311
73,MUTHOOTFIN,Financial Services,0.0523,1.199,0.0,-0.0358,-0.7987,-0.1032,,,,41.7,2982.8,3150.54,26.5,False,False,12.3,16.0,0.0,,42.8920780641288
74,SONATSOFTW,Information Technology,0.0461,0.1446,-0.2861,1.2318,-0.7568,-0.1032,5.0,Safe,3.17,64.0,309.8,274.57,26.7,True,False,27.9,42.7,0.25,14.069523694617958,8.140393642214194
75,IPCALAB,Healthcare,0.0267,0.3568,0.1678,-0.4814,0.1935,-0.1032,7.0,Safe,4.55,65.9,1838.6,1652.28,3.3,True,True,39.7,19.7,0.04,8.070042075667505,30.839526089746183
76,MSUMI,Automobile and Auto Components,0.0216,0.3085,-0.174,0.913,-0.8365,-0.1032,5.0,Safe,2.7,52.1,39.68,38.77,22.7,True,False,42.3,38.9,0.11,17.54113856218926,8.79317830228561
77,SARDAEN,Metals & Mining,0.0139,1.0307,-0.1586,-0.5544,-0.1448,-0.1032,7.0,Safe,4.12,45.8,502.25,522.16,19.8,False,False,18.7,18.0,0.21,12.796075098277516,14.105248398253579
78,PETRONET,Oil Gas & Consumable Fuels,0.0115,1.3184,-0.9116,-0.2087,-0.0374,-0.1032,5.0,Safe,4.43,47.1,275.05,274.56,14.0,True,True,10.7,23.4,0.11,-10.117890956600316,5.854288670199503
79,SHRIRAMFIN,Financial Services,0.0059,0.679,0.0,-0.7542,0.2079,-0.1032,,,,55.4,1035.4,976.53,5.7,True,True,24.8,11.5,0.0,,18.49377787780826
80,SOLARINDS,Chemicals,0.0033,-3.1411,0.4763,1.1358,1.6486,-0.1032,6.0,Safe,5.06,62.7,19028.0,17980.44,0.0,True,True,140.0,43.6,0.04,10.2776942195695,39.982832150032934
81,USHAMART,Capital Goods,0.0011,0.2748,-0.279,0.2292,-0.1164,-0.1032,6.0,Safe,4.86,56.5,508.4,489.81,2.2,True,True,38.8,30.0,0.0,4.226310385087406,18.246548417751107
82,RADICO,Fast Moving Consumer Goods,-0.0052,-1.2774,0.9515,-0.0935,0.4963,-0.1032,7.0,Safe,4.01,72.8,4132.4,3715.09,0.0,True,False,89.5,24.5,0.15,24.438163682342974,43.30730959896667
83,NAVA,Power,-0.0104,0.233,0.4398,-0.6236,0.0019,-0.1032,5.0,Safe,4.5,35.7,576.75,609.04,21.0,False,False,28.6,16.8,0.01,6.3580216278751545,42.56151629789073
84,KPITTECH,Information Technology,-0.0114,0.7412,0.3256,0.5212,-1.5419,-0.1032,5.0,Safe,4.19,29.2,561.2,694.57,56.8,False,False,26.0,33.2,0.07,19.821879784501363,24.893581964832624
85,NUVAMA,Financial Services,-0.0122,-0.6009,0.0,0.1678,0.4755,-0.1032,,,,56.2,1854.0,1673.44,6.2,True,True,60.4,23.7,0.53,50.058012803758636,
86,MRF,Automobile and Auto Components,-0.0159,0.9679,0.5534,-0.7196,-0.7782,-0.1032,8.0,Safe,3.46,55.0,132800.0,128295.87,18.0,True,True,23.5,16.4,0.08,10.728083394819965,42.36968959535518
87,HONASA,Fast Moving Consumer Goods,-0.0202,-1.302,0.0,-0.5391,1.8435,-0.1032,6.0,Safe,3.07,58.1,457.55,418.66,3.6,True,True,75.6,18.5,0.08,18.222164744303846,
88,GICRE,Financial Services,-0.0297,1.3861,-0.5054,-0.6236,-0.3024,-0.1032,,,,43.0,360.25,373.74,12.0,False,False,7.56,17.6,0.0,4.180379883147389,9.96217903268235
89,TATASTEEL,Metals & Mining,-0.0301,1.2334,-0.8476,-0.7926,0.3593,-0.1032,6.0,Safe,2.75,39.8,186.41,197.68,14.0,False,False,13.7,14.0,0.51,-0.7503584342843705,2.3037044043732635
90,NEULANDLAB,Healthcare,-0.0331,-0.5437,0.4661,0.0103,0.0048,-0.1032,5.0,Safe,3.85,59.4,18949.0,17630.34,3.0,True,True,66.5,26.5,0.16,19.314907007563043,30.57047173809282
91,AADHARHFC,Financial Services,-0.0392,0.8662,0.0,-0.7772,-0.1817,-0.1032,,,,48.0,510.55,495.34,8.3,True,True,20.3,11.4,0.0,,22.131791880658124
92,HINDUNILVR,Fast Moving Consumer Goods,-0.0467,0.2983,-0.4205,0.4443,-0.4522,-0.1032,6.0,Safe,3.85,47.9,2139.7,2157.51,19.1,False,False,33.0,28.1,0.03,1.570739424724521,15.694223058142498
93,NTPC,Power,-0.0479,1.147,-0.5963,-0.9029,0.216,-0.1032,5.0,Grey,2.16,41.6,347.25,365.8,15.3,False,False,14.5,8.43,1.09,0.3496744704450494,10.450869230837888
94,KFINTECH,Financial Services,-0.051,0.187,0.1588,0.2446,-0.742,-0.1032,,,,52.8,881.8,849.81,29.8,True,False,43.1,30.6,0.03,18.529030495549414,20.05026629754294
95,AIAENG,Capital Goods,-0.0516,0.2026,-0.6818,-0.3086,0.6331,-0.1032,6.0,Safe,4.94,48.5,4657.5,4500.96,8.3,True,True,34.2,21.9,0.0,-2.38005376621393,10.032087306743719
96,TRENT,Consumer Services,-0.0662,-0.9473,1.5352,0.2407,-1.0563,-0.1032,6.0,Safe,4.02,44.9,2925.9,2931.28,47.0,False,False,85.6,27.4,0.33,36.683926703540884,52.53525601115678
97,APTUS,Financial Services,-0.0739,0.8038,0.0,-0.6121,-0.4579,-0.1032,,,,73.4,305.45,271.51,13.6,True,False,21.8,14.4,0.0,,17.506625067753532
98,3MINDIA,Diversified,-0.0756,-0.6496,-0.38,1.2472,-0.4925,-0.1032,6.0,Safe,4.39,62.1,35240.0,32713.44,5.0,True,True,73.1,50.0,0.1,10.888522648204368,7.869084888177702
99,LGEINDIA,Consumer Durables,-0.0851,-0.4959,0.0,0.3598,-0.1861,-0.1032,5.0,Safe,3.25,53.9,1576.4,1548.46,6.7,True,True,62.3,32.2,0.06,7.393566817809871,
100,ECLERX,Services,-0.0865,0.3299,-0.2673,1.1435,-1.5356,-0.1032,8.0,Safe,4.13,71.5,1877.5,1502.83,24.1,True,False,38.7,41.7,0.21,14.820670379681665,8.083593174890513
101,IIFL,Financial Services,-0.0902,0.8246,0.0,-0.7273,-0.4452,-0.1032,,,,60.7,557.7,505.98,15.5,True,True,21.3,12.2,0.0,,12.47489497197023
102,SAILIFE,Healthcare,-0.0934,-0.8135,0.0,-0.516,0.9657,-0.1032,7.0,Safe,3.82,64.2,1297.0,1193.37,0.0,True,True,76.6,19.2,0.09,22.99955974351393,
103,FIVESTAR,Financial Services,-0.0979,1.0784,0.0,-0.6389,-0.8256,-0.1032,,,,71.8,570.5,485.95,21.9,True,False,15.2,14.8,0.0,,21.580919424228885
104,TRAVELFOOD,Consumer Services,-0.1038,0.1298,-1.8905,1.3855,-0.0405,-0.1032,5.0,Safe,4.29,50.5,1304.2,1254.02,6.1,True,True,46.6,45.1,0.19,13.393068673707331,-61.765070693376956
105,GODIGIT,Financial Services,-0.1061,-2.1018,3.1395,-0.8541,-0.6107,-0.1032,,,,32.1,280.9,305.85,24.6,False,False,48.4,13.1,0.08,19.350307403555544,143.09562674693925
106,HOMEFIRST,Financial Services,-0.1106,0.679,0.0,-0.7964,-0.3325,-0.1032,,,,64.7,1273.2,1134.36,13.5,True,True,24.8,11.1,0.0,,25.927310889610887
107,ENDURANCE,Automobile and Auto Components,-0.1113,0.0131,0.1376,-0.3739,-0.2301,-0.1032,6.0,Safe,4.4,59.6,2741.5,2644.31,9.9,True,True,51.7,21.7,0.01,16.276984220479275,21.523033402488778
108,PIDILITIND,Chemicals,-0.1126,-0.6939,-0.0173,0.2715,-0.0199,-0.1032,7.0,Safe,4.49,50.5,1565.8,1530.79,3.5,True,True,67.0,31.1,0.03,8.373111102669807,23.727868043314658
109,BAYERCROP,Chemicals,-0.1164,0.6526,-0.8837,0.2023,-0.4501,-0.1032,7.0,Safe,3.14,55.5,4260.9,4277.99,31.3,False,False,28.4,29.1,0.03,3.3556562757084185,-3.131854603868045
110,OBEROIRLTY,Realty,-0.1173,0.5517,-0.0796,-0.7695,-0.1269,-0.1624,5.0,Safe,3.77,59.6,1882.7,1730.63,3.6,True,True,30.9,15.0,0.18,16.179185042855405,13.62941387550023
111,FSL,Services,-0.135,0.4633,0.4125,-0.2164,-1.2314,-0.1032,5.0,Safe,2.81,63.1,266.65,251.66,27.5,True,False,37.2,21.1,0.42,27.96034514549919,19.953424067400704
